Bib,Name,Country,Gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Gender Qualifier Rank,Qualified
928,Wyllo Ferreira Jr,Brazil,Male,M45-49,04:24:31,84,82,6,00:35:51,519,449,70,02:11:24,56,56,4,01:33:17,111,100,9,00:2:17,187,156,20,00:1:42,93,80,7,FIN,03:57:28,26,26,
864,FELIPE SILVA ALVAREZ,Brazil,Male,M45-49,04:24:42,86,84,7,00:31:51,237,206,26,02:11:37,58,58,5,01:36:22,166,151,18,00:2:24,236,198,25,00:2:28,456,381,47,FIN,03:57:38,27,27,
815,Marcus Aurelio Miranda De Araujo,Brazil,Male,M45-49,04:25:06,90,88,8,00:30:21,155,138,11,02:15:49,99,98,13,01:35:11,142,129,11,00:2:11,155,129,11,00:1:34,50,44,2,FIN,03:58:00,28,28,
339,Diogo Gaino De Moraes,Brazil,Male,M35-39,04:10:37,42,41,5,00:30:01,140,124,24,02:12:15,64,63,11,01:25:15,37,36,2,00:1:40,47,34,3,00:1:27,32,27,4,FIN,03:58:05,29,29,1
891,JOSE ALCIDES DE SOUZA JUNIOR,Brazil,Male,M45-49,04:25:19,92,90,9,00:27:19,50,46,6,02:14:27,86,85,10,01:38:34,212,193,25,00:2:31,277,230,28,00:2:28,458,382,48,FIN,03:58:12,30,30,
312,Gil Castello Branco,Brazil,Male,M35-39,04:11:04,43,42,6,00:29:42,124,110,20,02:10:26,50,50,9,01:27:09,50,49,9,00:2:02,111,92,20,00:1:45,102,88,22,FIN,03:58:30,31,31,1
698,Rafael Aragao Queiroz De Freitas,Brazil,Male,M40-44,04:17:54,65,63,9,00:29:19,104,90,14,02:09:30,40,40,3,01:34:11,122,111,16,00:2:25,240,202,42,00:2:30,477,399,77,FIN,03:58:52,32,32,
1539,Gilberto Dos Santos Marcos,Brazil,Male,M50-54,04:30:48,119,114,2,00:30:22,156,139,7,02:24:48,263,244,8,01:30:30,79,75,2,00:3:19,662,543,30,00:1:49,119,103,2,FIN,03:59:11,33,33,1
1707,Marcelo Henrique E Silva Lopes,Brazil,Male,M45-49,04:27:09,98,95,10,00:32:13,256,222,29,02:20:53,177,169,24,01:30:11,77,73,6,00:1:48,61,48,5,00:2:03,236,199,24,FIN,03:59:50,34,34,
921,Rodrigo Correa Lima,Brazil,Male,M45-49,04:27:09,99,96,11,00:34:12,394,345,51,02:19:32,148,141,19,01:25:00,35,34,4,00:3:42,832,665,105,00:4:44,1233,989,169,FIN,03:59:50,35,35,
1512,Marco Aurélio Barbosa Gimenes,Brazil,Male,M50-54,04:31:46,124,118,3,00:37:12,644,545,28,02:18:15,129,124,3,01:31:04,84,79,3,00:2:39,324,269,7,00:2:35,518,433,17,FIN,04:00:03,36,36,
697,Dyego Januario Pinto,Brazil,Male,M40-44,04:19:11,69,67,10,00:32:20,261,227,51,02:13:15,75,74,14,01:29:08,69,67,9,00:2:22,218,183,36,00:2:07,277,232,42,FIN,04:00:03,37,37,
944,Marco Aurelio Coelho Vidal,Brazil,Male,M45-49,04:27:46,104,101,12,00:30:22,158,141,12,02:14:11,83,82,9,01:38:47,215,195,26,00:2:47,388,325,47,00:1:39,77,68,6,FIN,04:00:24,38,38,
1316,Lucas Guilherme Duncka,Brazil,Male,M30-34,04:09:12,37,36,6,00:32:40,284,249,39,02:09:32,41,41,8,01:23:22,27,26,3,00:2:02,110,91,17,00:1:35,55,49,9,FIN,04:00:36,39,39,
297,Guilherme Queiroz Portilho,Brazil,Male,M35-39,04:14:00,51,50,7,00:30:43,170,153,29,02:07:46,29,29,2,01:31:15,87,81,17,00:2:30,273,227,53,00:1:46,108,94,24,FIN,04:01:18,40,40,
853,Eduardo De Carvalho Amantini,Brazil,Male,M45-49,04:29:29,113,109,13,00:30:35,163,146,13,02:14:10,82,81,8,01:39:44,232,209,30,00:3:06,565,470,74,00:1:54,158,133,16,FIN,04:01:56,41,41,
115,ELDHER FELIPE SOARES,Brazil,Male,M35-39,04:15:36,55,54,8,00:30:52,183,164,32,02:15:00,91,90,18,01:25:19,38,37,3,00:2:23,226,190,45,00:2:01,221,184,45,FIN,04:02:49,42,42,
879,Rodrigo Da Costa Silva,Brazil,Male,M45-49,04:30:50,120,115,14,00:31:15,204,182,22,02:15:11,94,93,12,01:40:31,254,230,34,00:2:01,100,82,7,00:1:54,150,127,15,FIN,04:03:09,43,43,
573,Matheus Meireles,Brazil,Male,M40-44,04:22:37,77,75,11,00:27:35,52,48,5,02:13:00,70,69,11,01:38:05,199,181,30,00:2:07,134,110,19,00:1:49,123,106,18,FIN,04:03:14,44,44,
840,DANIEL PENTEADO DE CASTRO,Brazil,Male,M45-49,04:31:18,121,116,15,00:32:38,282,247,30,02:16:09,102,101,14,01:38:11,202,184,23,00:2:12,156,130,12,00:2:08,278,233,25,FIN,04:03:34,45,45,
291,Thiago De Souza Caldas,Brazil,Male,M35-39,04:16:26,59,57,9,00:28:49,84,74,10,02:17:24,116,115,26,01:26:48,47,46,8,00:2:00,99,81,16,00:1:25,27,23,2,FIN,04:03:36,46,46,
1314,William A N Graca,Brazil,Male,M30-34,04:12:29,47,46,7,00:29:40,119,105,18,02:07:39,28,28,4,01:31:53,93,87,17,00:1:48,60,47,7,00:1:30,40,35,6,FIN,04:03:46,47,47,
1603,ALEX DE SOUZA,Brazil,Male,M60-64,04:57:35,389,349,1,00:28:50,85,75,1,02:28:42,380,348,1,01:54:55,611,519,1,00:3:23,689,561,7,00:1:45,101,87,1,FIN,04:03:46,48,48,1
267,Gerald Alex Ferreira De Sa,Brazil,Male,M35-39,04:17:16,64,62,10,00:31:21,210,186,37,02:15:51,100,99,22,01:25:29,39,38,4,00:2:52,434,370,84,00:1:44,99,86,21,FIN,04:04:24,49,49,
603,ANDRE CORAL SAMPAIO,Brazil,Male,M40-44,04:23:55,83,81,12,00:28:28,72,63,11,02:23:21,218,205,41,01:28:02,58,56,7,00:1:59,98,80,12,00:2:06,269,227,39,FIN,04:04:26,50,50,
980,Gilmar Soares da Silva,Brazil,Male,M45-49,04:32:20,128,122,16,00:35:05,458,396,60,02:20:07,163,155,21,01:32:27,96,89,7,00:2:48,390,327,48,00:1:51,131,113,11,FIN,04:04:30,51,51,
180,LUCAS ZUQUIM GUIMARAES GARCIA,Brazil,Male,M35-39,04:18:04,66,64,11,00:29:03,94,82,13,02:15:03,92,91,19,01:29:55,73,71,14,00:1:59,97,79,15,00:2:05,258,217,56,FIN,04:05:09,52,52,
623,Diogo Almeida,Brazil,Male,M40-44,04:24:51,87,85,13,00:26:52,40,36,2,02:12:48,67,66,10,01:40:05,245,222,36,00:2:28,255,216,46,00:2:38,548,456,91,FIN,04:05:18,53,53,
