Bib,Name,Country,Gender,Division,Overall Time,Overall Rank,Gender Rank,Age Group Rank,Swim Time,Swim Rank,Gender Swim Rank,Age Group Swim Rank,Bike Time,Bike Rank,Gender Bike Rank,Age Group Bike Rank,Run Time,Run Rank,Gender Run Rank,Age Group Run Rank,Transition 1 Time,Transition 1 Rank,Gender Transition 1 Rank,Age Group Transition 1 Rank,Transition 2 Time,Transition 2 Rank,Gender Transition 2 Rank,Age Group Transition 2 Rank,Finish,Qualifier Time,Qualifier Rank,Gender Qualifier Rank,Qualified
345,Daniel Da Gama Guimarães Ramalho,Brazil,Male,M45-49,04:21:21,17,16,1,00:26:59,16,15,1,02:14:15,10,10,1,01:35:57,62,57,7,00:2:04,215,192,18,00:2:06,81,71,6,FIN,03:54:38,1,1,1
366,Mateus Vidigal,Brazil,Male,M45-49,04:26:05,23,22,2,00:27:40,17,16,2,02:15:21,13,13,2,01:40:14,102,93,10,00:1:18,35,28,2,00:1:33,6,6,2,FIN,03:58:53,2,2,1
576,LUCAS ANDRADE CABRAL,Brazil,Male,M30-34,04:07:26,9,9,1,00:27:48,19,18,2,02:16:49,21,21,4,01:20:04,4,4,2,00:1:18,34,27,3,00:1:28,2,2,1,FIN,03:58:53,3,3,1
667,Fellipe Marmo Gomes Santos,Brazil,Male,M30-34,04:07:33,10,10,2,00:25:48,12,11,1,02:10:06,7,7,1,01:28:23,18,17,5,00:1:12,26,21,2,00:2:05,76,66,12,FIN,03:59:00,4,4,1
300,Marcus Vinicius Macedo Dos Santos,Brazil,Male,M40-44,04:21:22,19,18,1,00:32:10,56,51,12,02:18:04,25,24,2,01:26:51,14,14,1,00:1:59,183,167,37,00:2:19,129,112,21,FIN,04:02:04,5,5,1
431,Marlucio Ramos,Brazil,Male,M45-49,04:34:10,38,35,3,00:31:35,47,43,5,02:25:18,86,82,10,01:32:49,40,36,3,00:1:22,49,42,3,00:3:06,348,293,31,FIN,04:06:08,6,6,1
362,Alan Lima De Carvalho,Brazil,Male,M45-49,04:34:58,41,38,4,00:34:18,111,100,14,02:21:34,43,42,4,01:34:41,51,46,5,00:2:27,322,275,36,00:1:57,56,50,4,FIN,04:06:51,7,7,1
558,MATHEUS BITTENCOURT VITORINO,Brazil,Male,M30-34,04:15:48,14,13,3,00:30:21,39,35,5,02:22:59,56,53,6,01:18:48,3,3,1,00:1:22,48,41,7,00:2:19,128,111,20,FIN,04:06:58,8,8,1
645,VINICIUS FERREIRA CAMPOS,Brazil,Male,M30-34,04:16:19,16,15,4,00:29:15,31,29,3,02:16:48,20,20,3,01:27:22,16,15,4,00:1:11,24,19,1,00:1:42,15,15,4,FIN,04:07:28,9,9,1
268,Rafael Aragao Queiroz De Freitas,Brazil,Male,M40-44,04:27:58,25,24,2,00:31:46,48,44,8,02:17:46,24,23,1,01:33:06,41,37,5,00:2:29,331,282,58,00:2:50,265,225,37,FIN,04:08:11,10,10,1
814,Adriano Sacchetto,Brazil,Male,M35-39,04:21:21,18,17,1,00:27:47,18,17,1,02:14:25,11,11,1,01:36:29,65,60,10,00:1:05,17,15,1,00:1:36,8,8,1,FIN,04:08:16,11,11,1
196,Bonieck De Souza Clemente,Brazil,Male,M40-44,04:28:18,26,25,3,00:28:12,22,20,1,02:26:06,94,90,14,01:29:50,22,21,4,00:1:15,30,23,3,00:2:54,288,247,39,FIN,04:08:29,12,12,1
413,Mauricio Penteado Cardoso,Brazil,Male,M45-49,04:37:31,48,44,5,00:34:16,108,97,13,02:24:16,70,66,8,01:34:17,49,44,4,00:2:02,202,183,17,00:2:41,224,191,18,FIN,04:09:09,13,13,1
712,PEDRO HENRIQUE ANDRADE MOREIRA,Brazil,Male,M35-39,04:25:22,21,20,2,00:33:18,80,72,13,02:16:00,15,15,2,01:31:49,28,26,3,00:1:54,152,138,26,00:2:22,143,123,25,FIN,04:12:05,14,14,1
591,Lino Henrique Magalhaes Nardin,Brazil,Male,M30-34,04:21:23,20,19,5,00:35:24,140,128,20,02:18:49,27,26,5,01:22:33,10,10,3,00:1:55,159,145,23,00:2:41,222,189,41,FIN,04:12:21,15,15,1
260,Rodrigo Lacerda Alves,Brazil,Male,M40-44,04:32:42,34,32,4,00:29:48,34,32,4,02:24:00,66,63,6,01:35:56,61,56,10,00:1:06,19,17,1,00:1:52,42,39,4,FIN,04:12:34,16,16,1
149,Aleksas Vaitkunas,Brazil,Male,M40-44,04:33:13,35,33,5,00:32:18,59,54,13,02:27:36,121,116,21,01:29:10,20,19,3,00:1:56,165,150,33,00:2:12,101,87,15,FIN,04:13:03,17,17,1
694,IGOR ITAPA DE CARVALHO,Brazil,Male,M35-39,04:26:51,24,23,3,00:33:22,81,73,14,02:20:26,36,35,11,01:29:34,21,20,1,00:1:34,71,64,8,00:1:56,54,49,11,FIN,04:13:30,18,18,1
358,Fábio Ramos,Brazil,Male,M45-49,04:42:45,63,57,6,00:28:42,26,24,3,02:31:12,176,164,21,01:38:15,81,75,8,00:1:50,124,115,13,00:2:45,245,208,19,FIN,04:13:51,19,19,1
378,Rodrigo Felipe,Brazil,Male,M45-49,04:43:12,66,60,7,00:45:23,606,517,74,02:20:08,35,34,3,01:32:44,39,35,2,00:2:11,237,210,22,00:2:46,247,209,20,FIN,04:14:15,20,20,
737,Yan Aguilera,Brazil,Male,M35-39,04:28:32,27,26,4,00:33:51,99,88,20,02:16:16,16,16,3,01:34:42,52,47,8,00:1:52,134,123,18,00:1:51,37,34,6,FIN,04:15:06,21,21,
825,Bruno Ordonho,Brazil,Male,M35-39,04:28:46,28,27,5,00:32:59,73,66,11,02:19:18,29,28,7,01:32:43,38,34,6,00:2:04,216,193,38,00:1:42,17,17,3,FIN,04:15:19,22,22,
1289,Claudio Capitao,Brazil,Male,M65-69,05:34:12,374,329,1,00:54:38,937,769,1,02:47:25,458,412,1,01:46:32,171,157,1,00:3:05,507,421,1,00:2:32,187,157,1,FIN,04:15:19,23,23,1
701,Felipe Augusto Ribeiro Viana,Brazil,Male,M35-39,04:29:33,31,30,6,00:33:45,94,83,18,02:19:22,31,30,9,01:32:20,34,31,4,00:1:53,141,130,21,00:2:13,106,92,18,FIN,04:16:04,24,24,
377,FELIPE SILVA ALVAREZ,Brazil,Male,M45-49,04:45:19,75,69,8,00:32:57,71,65,9,02:21:45,45,44,5,01:46:12,168,155,17,00:2:32,350,298,40,00:1:54,50,45,3,FIN,04:16:09,25,25,
351,Marcelo De Oliveira Machado,Brazil,Male,M45-49,04:46:50,82,75,9,00:32:54,69,63,8,02:36:34,254,238,32,01:31:50,29,27,1,00:2:06,222,198,19,00:3:27,439,370,43,FIN,04:17:31,26,26,
215,HABRAAO DIOGENES BESSA PEIXOTO,Brazil,Male,M40-44,04:39:03,52,47,6,00:37:08,196,176,38,02:19:24,32,31,3,01:39:08,89,82,19,00:1:16,32,25,4,00:2:07,86,76,12,FIN,04:18:27,27,27,
445,Marc BOYER,France,Male,M45-49,04:48:24,86,79,10,00:33:04,77,70,11,02:27:29,117,112,13,01:44:28,141,130,13,00:1:16,33,26,1,00:2:08,88,77,7,FIN,04:18:55,28,28,
444,Osmar Cortes,Brazil,Male,M45-49,04:48:28,87,80,11,00:39:38,288,261,32,02:23:16,58,55,7,01:40:05,99,90,9,00:2:25,312,266,33,00:3:04,336,285,30,FIN,04:18:59,29,29,
556,Guilherme Ferreira,Brazil,Male,M30-34,04:29:11,29,28,6,00:34:18,110,99,14,02:15:32,14,14,2,01:34:55,53,48,12,00:1:42,97,90,14,00:2:44,242,205,44,FIN,04:19:53,30,30,
1195,Rodrigo Camurca Da Silva,Brazil,Male,M50-54,04:55:01,121,113,1,00:37:55,220,198,7,02:33:24,214,200,7,01:38:48,83,76,1,00:1:44,106,98,3,00:3:09,366,308,12,FIN,04:20:35,31,31,1
1188,Abelardo Ramos,Brazil,Male,M50-54,04:55:09,122,114,2,00:32:27,62,57,2,02:31:49,193,181,6,01:45:33,157,145,4,00:2:47,427,354,17,00:2:33,191,161,6,FIN,04:20:42,32,32,
702,YURI JOSE ANDRADE DE SANTANA,Brazil,Male,M35-39,04:34:38,39,36,7,00:36:20,170,154,32,02:17:42,23,22,5,01:37:19,71,66,11,00:1:26,53,46,5,00:1:51,38,35,7,FIN,04:20:54,33,33,
738,Ricardo Kulik Alleman,Brazil,Male,M35-39,04:35:36,43,40,8,00:33:59,100,89,21,02:24:31,73,69,22,01:33:13,42,38,7,00:1:59,185,169,33,00:1:55,52,47,10,FIN,04:21:49,34,34,
198,Kleber Fariz Miguel,Brazil,Male,M40-44,04:43:03,65,59,7,00:28:12,23,21,2,02:31:44,191,179,38,01:38:04,78,72,15,00:1:50,125,116,26,00:3:13,377,318,54,FIN,04:22:09,35,35,
1254,Leonardo Moreira,Brazil,Male,M55-59,05:06:08,184,172,1,00:34:56,126,114,1,02:34:40,225,211,3,01:51:29,247,223,3,00:1:46,110,102,4,00:3:18,396,335,5,FIN,04:22:12,36,36,1
131,Vinicius Cassimiro,Brazil,Male,M40-44,04:43:15,67,61,8,00:36:15,167,152,32,02:26:29,100,96,16,01:33:29,44,40,7,00:3:06,512,423,79,00:3:56,552,461,95,FIN,04:22:20,37,37,
959,Ana Augusta Lima Soares Barbosa,Brazil,Female,F35-39,04:31:49,33,2,1,00:32:58,72,7,1,02:21:56,49,2,1,01:32:37,36,4,1,00:1:47,113,9,2,00:2:30,177,29,3,FIN,04:22:31,38,1,1
1209,MARCELO ERICO GUNIA SCHIAVON,Brazil,Male,M50-54,04:57:41,137,128,3,00:30:36,40,36,1,02:27:27,115,110,2,01:56:02,328,288,15,00:1:27,56,49,2,00:2:09,96,82,2,FIN,04:22:56,39,38,
1050,Rafael Rizzato,Brazil,Male,M25-29,04:25:41,22,21,1,00:31:10,42,38,3,02:21:30,42,41,4,01:30:19,24,23,2,00:0:59,6,6,1,00:1:42,16,16,2,FIN,04:23:47,40,39,1
709,ADLER PINHEIRO BRAGA,Brazil,Male,M35-39,04:37:48,49,45,9,00:33:47,96,85,19,02:27:17,114,109,30,01:32:28,35,32,5,00:1:55,160,146,29,00:2:21,139,120,24,FIN,04:23:54,41,40,
323,Rogerio Giovanny Oliveira Silva,Brazil,Male,M45-49,04:53:58,116,108,12,00:44:08,548,471,68,02:28:26,131,125,14,01:35:49,59,54,6,00:2:29,338,287,38,00:3:06,351,295,32,FIN,04:23:55,42,41,
688,Fabio Duarte Lopes Martins,Brazil,Male,M30-34,04:33:30,36,34,7,00:33:22,82,74,9,02:23:53,64,61,8,01:32:00,31,28,6,00:1:45,107,99,18,00:2:30,178,149,30,FIN,04:24:03,43,42,
127,FILIPE CAMPOS,Brazil,Male,M40-44,04:45:11,72,66,9,00:36:31,178,161,34,02:26:32,101,97,17,01:38:01,77,71,14,00:1:48,117,108,25,00:2:19,133,115,22,FIN,04:24:08,44,43,
148,Jhonny Goncalves Reich,Brazil,Male,M40-44,04:46:32,80,74,10,00:35:09,137,125,24,02:28:05,124,118,23,01:38:59,87,80,18,00:2:15,256,222,49,00:2:04,74,64,7,FIN,04:25:23,45,44,
325,Daniel Adjafre Da Costa Matos,Brazil,Male,M45-49,04:56:08,129,121,13,00:34:27,115,104,15,02:31:21,184,172,25,01:43:28,132,123,12,00:2:52,455,379,51,00:4:00,563,467,57,FIN,04:25:52,46,45,
151,Diego Passos,Brazil,Male,M40-44,04:47:38,84,77,11,00:42:47,460,398,88,02:24:38,76,72,11,01:36:31,66,61,11,00:1:20,44,37,7,00:2:21,140,121,23,FIN,04:26:24,47,46,
885,Philip Jose Van Liefland Lopez,Spain,Male,M35-39,04:40:28,55,50,10,00:35:03,134,122,27,02:26:10,96,92,27,01:35:33,57,52,9,00:1:24,51,44,4,00:2:18,123,107,22,FIN,04:26:26,48,47,
834,Rafael Silva,Brazil,Male,M35-39,04:40:50,57,52,11,00:33:36,92,81,16,02:22:00,50,48,17,01:41:28,114,105,18,00:1:57,172,157,32,00:1:49,30,28,4,FIN,04:26:47,49,48,
868,Eduardo Souza Dantas,Brazil,Male,M35-39,04:40:51,58,53,12,00:42:26,437,379,75,02:22:56,55,52,19,01:31:23,26,24,2,00:2:15,255,221,42,00:1:50,33,31,5,FIN,04:26:48,50,49,
663,Guilherme Ferreira,Brazil,Male,M30-34,04:36:21,44,41,8,00:36:45,184,164,27,02:23:18,59,56,7,01:32:15,33,30,8,00:1:44,103,95,17,00:2:19,130,113,21,FIN,04:26:48,51,50,
220,Lucas Brito Santos,Brazil,Male,M40-44,04:48:22,85,78,12,00:42:45,457,395,87,02:28:05,125,119,24,01:34:09,47,42,8,00:1:35,74,67,12,00:1:48,26,24,2,FIN,04:27:05,52,51,
1305,Amilcar Altemani,Brazil,Male,M60-64,05:26:21,315,285,1,00:40:56,355,316,2,02:29:08,141,134,1,02:10:38,585,499,2,00:2:52,453,377,5,00:2:47,254,215,1,FIN,04:27:20,53,52,1
1056,Amando Regis Ribeiro,Brazil,Male,M25-29,04:29:26,30,29,2,00:32:17,58,53,4,02:16:28,17,17,1,01:36:10,63,58,6,00:1:37,80,73,12,00:2:54,290,249,33,FIN,04:27:31,54,53,
466,GUILHERME CARVALHO,Brazil,Male,M45-49,04:58:16,141,131,14,00:38:35,246,220,27,02:24:40,79,75,9,01:49:39,219,201,19,00:2:25,314,268,34,00:2:56,300,259,25,FIN,04:27:47,55,54,
1112,Rodrigo Sivieri Pardo,Brazil,Male,M25-29,04:29:46,32,31,3,00:29:07,27,25,2,02:19:38,33,32,2,01:37:30,74,68,9,00:1:18,36,29,5,00:2:13,107,93,10,FIN,04:27:51,56,55,
742,Jose Bruno Lavor Sampaio,Brazil,Male,M35-39,04:42:02,61,55,13,00:34:48,122,111,25,02:16:46,19,19,4,01:45:18,150,138,29,00:2:29,334,285,53,00:2:42,231,197,44,FIN,04:27:55,57,56,
776,Daniel Cordeiro,Brazil,Male,M35-39,04:42:48,64,58,14,00:28:31,24,22,3,02:28:10,127,121,32,01:42:00,118,109,20,00:1:49,119,110,16,00:2:17,120,104,20,FIN,04:28:39,58,57,
363,Jose Baptista Dos Santos Neto,Brazil,Male,M45-49,04:59:20,150,140,15,00:39:09,264,237,28,02:29:16,144,137,17,01:45:31,155,143,15,00:2:09,233,207,21,00:3:16,390,329,37,FIN,04:28:44,59,58,
296,LEANDRO DE CARVALHO PINTO,Brazil,Male,M40-44,04:50:28,94,86,13,00:32:54,70,64,16,02:32:55,209,195,42,01:39:51,96,87,21,00:1:59,186,170,38,00:2:49,260,220,36,FIN,04:29:01,60,59,
433,LEONARDO AFONSO PONTES,Brazil,Male,M45-49,04:59:40,153,143,16,00:41:46,405,353,45,02:27:03,109,104,12,01:45:35,159,147,16,00:2:58,480,399,52,00:2:18,126,110,9,FIN,04:29:02,61,60,
306,Tiago Carvalho Cardoso Da Silva,Brazil,Male,M40-44,04:50:49,98,90,14,00:29:23,32,30,3,02:24:32,74,70,9,01:53:06,281,252,60,00:1:30,62,55,9,00:2:18,125,109,20,FIN,04:29:21,62,61,
641,Gabriel Ribeiro Silva,Brazil,Male,M30-34,04:39:09,53,48,9,00:34:57,127,115,15,02:25:10,83,79,13,01:35:10,55,50,13,00:1:38,83,76,10,00:2:14,110,96,18,FIN,04:29:31,63,62,
1222,ELIVAR COELHO DE OLIVEIRA,Brazil,Male,M50-54,05:05:20,176,164,4,00:41:41,396,348,21,02:31:20,182,170,4,01:47:48,191,175,8,00:2:20,280,240,8,00:2:12,105,91,3,FIN,04:29:42,64,63,
230,PABLO COSTA SARMENTO,Brazil,Male,M40-44,04:51:36,101,93,15,00:33:23,83,75,17,02:26:59,107,103,18,01:47:41,189,173,36,00:1:18,37,30,5,00:2:16,117,103,19,FIN,04:30:04,65,64,
488,Manoela Amaral,Brazil,Female,F40-44,04:46:40,81,7,1,00:33:35,91,11,1,02:28:56,137,7,2,01:39:50,95,9,1,00:2:00,191,17,2,00:2:19,134,19,4,FIN,04:30:12,66,2,1
203,Wilson Felix,Brazil,Male,M40-44,04:51:53,103,95,16,00:37:06,195,175,37,02:25:35,89,85,12,01:45:46,163,150,32,00:1:19,40,33,6,00:2:06,83,73,10,FIN,04:30:20,67,65,
210,Daniel Sena,Brazil,Male,M40-44,04:52:03,104,96,17,00:37:31,205,184,40,02:28:06,126,120,25,01:41:00,106,97,23,00:1:38,86,79,15,00:3:48,527,442,90,FIN,04:30:29,68,66,
875,PEDRO QUEIROZ DE SOUZA,Brazil,Male,M35-39,04:44:45,69,63,15,00:34:26,113,102,23,02:23:08,57,54,20,01:43:39,135,126,25,00:1:20,43,36,3,00:2:12,102,88,17,FIN,04:30:30,69,67,
1192,Andre Alexandre De Lira Goveia,Brazil,Male,M50-54,05:06:16,185,173,5,00:39:10,265,238,11,02:37:23,268,251,11,01:45:24,151,139,3,00:2:25,310,264,10,00:1:54,47,43,1,FIN,04:30:31,70,68,
239,VINICIUS BRANDAO,Brazil,Male,M40-44,04:52:20,105,97,18,00:35:33,148,136,28,02:30:36,163,152,30,01:41:56,116,107,25,00:1:44,104,96,20,00:2:31,183,154,28,FIN,04:30:45,71,69,
237,Luis Flud Soares,Brazil,Male,M40-44,04:52:20,106,98,19,00:32:38,65,60,15,02:34:34,224,210,45,01:39:52,97,88,22,00:2:30,344,292,59,00:2:46,248,210,33,FIN,04:30:45,72,70,
644,VITOR SILVA FAGUNDES,Brazil,Male,M30-34,04:40:34,56,51,10,00:33:59,101,90,11,02:25:55,92,88,15,01:36:46,68,63,14,00:2:17,259,223,36,00:1:37,10,10,3,FIN,04:30:53,73,71,
813,Danilo Soares Sobral,Brazil,Male,M35-39,04:45:09,71,65,16,00:38:26,237,213,48,02:22:19,53,50,18,01:40:12,101,92,14,00:1:53,144,132,23,00:2:18,124,108,23,FIN,04:30:53,74,72,
845,Lucas Maltez Pereira,Brazil,Male,M35-39,04:45:12,73,67,17,00:29:14,30,28,5,02:20:56,38,37,12,01:50:20,232,213,47,00:2:06,221,197,40,00:2:35,200,169,36,FIN,04:30:56,75,73,
113,Luiz Fernando Presidio Almeida,Brazil,Male,M40-44,04:52:50,110,102,20,00:40:31,338,303,70,02:30:55,169,157,31,01:37:26,73,67,12,00:1:44,105,97,21,00:2:13,108,94,16,FIN,04:31:13,76,74,
745,Daniel Jorge Da Silva Monteiro De Freitas,Brazil,Male,M35-39,04:45:50,77,71,18,00:31:31,46,42,8,02:21:42,44,43,14,01:46:56,179,164,34,00:2:42,404,338,72,00:2:58,312,267,60,FIN,04:31:32,77,75,
1219,Cesar Cristiano Salgado Cavalcante,Brazil,Male,M50-54,05:07:33,191,179,6,00:34:15,107,96,5,02:26:44,103,99,1,01:59:48,401,351,18,00:2:39,388,327,14,00:4:07,588,488,31,FIN,04:31:39,78,76,
606,JOAO PEDRO FRANCA TEIXEIRA,Brazil,Male,M30-34,04:41:44,60,54,11,00:35:52,155,143,24,02:24:59,81,77,12,01:37:13,70,65,15,00:1:20,42,35,5,00:2:20,136,117,23,FIN,04:32:00,79,77,
471,Diogo Goncalves,Brazil,Male,M45-49,05:03:02,165,155,17,00:45:39,620,528,76,02:22:44,54,51,6,01:50:50,238,218,22,00:1:29,61,54,5,00:2:19,135,116,10,FIN,04:32:03,80,78,
129,Gabriel Franco De Campos,Brazil,Male,M40-44,04:53:47,115,107,21,00:32:19,60,55,14,02:27:30,120,115,20,01:49:44,221,203,48,00:2:08,230,205,45,00:2:06,84,74,11,FIN,04:32:06,81,79,
1208,Wander Jose Wanderclan Goncalves Chaves,Brazil,Male,M50-54,05:09:08,197,185,7,00:36:09,163,149,6,02:46:04,437,394,25,01:41:12,109,100,2,00:3:00,483,402,20,00:2:42,229,195,7,FIN,04:33:03,82,80,
118,Eduardo Bublitz Anton,Brazil,Male,M40-44,04:55:15,123,115,22,00:36:20,172,156,33,02:25:56,93,89,13,01:48:36,202,186,41,00:1:47,114,105,23,00:2:37,207,174,30,FIN,04:33:27,83,81,
1296,Rodrigo Silveirinha Corrêa Filho,Brazil,Male,M25-29,04:35:26,42,39,4,00:26:09,13,12,1,02:23:49,62,59,7,01:42:22,121,112,14,00:1:14,28,22,3,00:1:51,39,36,3,FIN,04:33:28,84,82,
259,Rodrigo Carrapeiro,Brazil,Male,M40-44,04:55:30,125,117,23,00:42:33,444,384,83,02:24:03,67,64,7,01:43:37,134,125,28,00:1:54,156,142,31,00:3:23,420,355,64,FIN,04:33:41,85,83,
1183,George Silveira Pereira,Brazil,Male,M50-54,05:10:51,208,195,8,00:42:27,438,380,22,02:37:19,264,248,10,01:46:40,173,159,5,00:1:26,52,45,1,00:2:59,314,268,10,FIN,04:34:34,86,84,
1013,João Pedro Villar,Brazil,Male,M18-24,04:34:44,40,37,1,00:32:45,66,61,2,02:23:58,65,62,3,01:33:56,45,41,1,00:2:03,209,188,16,00:2:02,66,59,8,FIN,04:34:44,87,85,1
183,Matheus Duarte P Ferreira,Brazil,Male,M40-44,04:56:39,132,124,24,00:37:15,197,177,39,02:35:24,236,222,49,01:38:55,85,78,17,00:1:58,179,163,36,00:3:07,356,300,48,FIN,04:34:45,88,86,
421,Aldemir Barros,Brazil,Male,M45-49,05:06:07,183,171,18,00:40:23,331,299,40,02:31:13,177,165,22,01:49:44,220,202,20,00:2:18,262,225,23,00:2:29,172,147,13,FIN,04:34:49,89,87,
1274,Elicé Torres Batista,Brazil,Male,M55-59,05:21:02,268,249,2,00:45:27,610,520,14,02:42:26,349,322,6,01:49:32,214,197,1,00:1:28,58,51,1,00:2:10,97,83,1,FIN,04:34:57,90,88,
658,Celso Rodrigo Santos Fernandes,Brazil,Male,M30-34,04:45:00,70,64,12,00:42:18,430,373,62,02:24:40,77,73,10,01:34:38,50,45,11,00:1:38,84,77,11,00:1:45,22,21,5,FIN,04:35:10,91,89,
704,Ricardo Carvalho,Brazil,Male,M35-39,04:49:45,89,82,19,00:33:41,93,82,17,02:25:07,82,78,23,01:45:37,160,148,32,00:2:39,392,330,67,00:2:40,218,185,39,FIN,04:35:15,92,90,
1111,Jonathan Sant’anna Da Silva,Brazil,Male,M25-29,04:37:29,47,43,5,00:35:09,136,124,14,02:21:49,47,46,5,01:36:23,64,59,7,00:2:02,201,182,21,00:2:06,82,72,7,FIN,04:35:30,93,91,
808,Gabriel Barbalho De Castro,Brazil,Male,M35-39,04:50:03,90,83,20,00:37:31,204,183,40,02:28:55,136,130,34,01:39:39,94,86,13,00:1:29,60,53,6,00:2:28,169,145,32,FIN,04:35:32,94,92,
1249,SANDRO MAGALHAES,Brazil,Male,M55-59,05:21:44,274,255,3,00:41:36,390,343,7,02:30:46,166,154,1,02:03:07,456,391,5,00:2:49,434,360,13,00:3:27,436,367,6,FIN,04:35:33,95,93,
380,RAPHAEL VILARINHO DA CRUZ,Brazil,Male,M45-49,05:07:06,188,176,19,00:37:43,213,191,25,02:31:16,178,166,23,01:53:04,280,251,25,00:2:37,375,317,43,00:2:26,159,136,12,FIN,04:35:42,96,94,
864,Emilio Jose Martini,Brazil,Male,M35-39,04:50:24,93,85,21,00:38:33,245,219,50,02:26:06,95,91,26,01:41:59,117,108,19,00:1:54,155,141,28,00:1:52,45,41,8,FIN,04:35:52,97,95,
736,Ernesto Santos Junior,Brazil,Male,M35-39,04:50:28,95,87,22,00:33:32,90,80,15,02:18:52,28,27,6,01:52:33,268,242,53,00:2:38,386,326,65,00:2:54,292,251,57,FIN,04:35:56,98,96,
661,Bruno Sapienza,Brazil,Male,M30-34,04:45:52,78,72,13,00:40:37,344,307,48,02:28:25,130,124,18,01:32:42,37,33,9,00:1:38,85,78,12,00:2:31,182,153,32,FIN,04:36:00,99,97,
707,Gustavo Vieira Ramos Ferreira,Brazil,Male,M35-39,04:50:33,96,88,23,00:36:20,171,155,33,02:28:11,128,122,33,01:41:05,108,99,17,00:2:47,426,353,75,00:2:11,99,85,16,FIN,04:36:01,100,98,
227,RODRIGO STUQUE URBINI,Brazil,Male,M40-44,04:58:18,143,133,25,00:33:31,89,79,18,02:26:19,99,95,15,01:53:43,293,260,63,00:1:45,109,101,22,00:3:00,321,273,43,FIN,04:36:17,101,99,
310,EDUARDO ROSSINI,Brazil,Male,M40-44,04:58:21,145,135,26,00:37:34,207,186,41,02:38:30,293,273,60,01:37:51,75,69,13,00:1:56,167,152,34,00:2:30,179,150,27,FIN,04:36:19,102,100,
